country,year,sex,age,suicides_no,population,suicides/100k pop,country-year,HDI for year,gdp_for_year ($),gdp_per_capita ($),generation
Japan,2009,male,15-24 years,612,3672416,16.66,Japan2009,0.681,227268245,61885,Boomers
Japan,2009,male,25-34 years,346,725450,47.69,Japan2009,0.681,44894627,61885,Silent
Japan,2009,male,35-54 years,754,2576703,29.26,Japan2009,0.681,159459813,61885,Silent
Japan,2009,male,55-74 years,1262,2942330,42.89,Japan2009,0.681,182086717,61885,Millenials
Japan,2009,male,75+ years,1007,1481735,67.96,Japan2009,0.681,91697485,61885,Boomers
Japan,2009,female,5-14 years,307,4282792,7.17,Japan2009,0.681,265041493,61885,G.I. Generation
Japan,2009,female,15-24 years,239,1345712,17.76,Japan2009,0.681,83279673,61885,G.I. Generation
Japan,2009,female,25-34 years,313,3813039,8.21,Japan2009,0.681,235970729,61885,Silent
Japan,2009,female,35-54 years,567,2434256,23.29,Japan2009,0.681,150644450,61885,G.I. Generation
Japan,2009,female,55-74 years,358,1297400,27.59,Japan2009,0.681,80289874,61885,Silent
Japan,2009,female,75+ years,810,4194244,19.31,Japan2009,0.681,259561681,61885,Millenials
Japan,2010,male,5-14 years,360,4909693,7.33,Japan2010,0.683,313028999,63757,Boomers
Japan,2010,male,15-24 years,62,243547,25.46,Japan2010,0.683,15527910,63757,G.I. Generation
Japan,2010,male,25-34 years,1198,3852933,31.09,Japan2010,0.683,245652785,63757,Boomers
Japan,2010,male,35-54 years,1330,3236585,41.09,Japan2010,0.683,206356072,63757,Boomers
Japan,2010,male,55-74 years,583,1034016,56.38,Japan2010,0.683,65926116,63757,Generation X
Japan,2010,male,75+ years,1951,3900724,50.02,Japan2010,0.683,248699812,63757,Generation Z
Japan,2010,female,5-14 years,43,3180394,1.35,Japan2010,0.683,202773483,63757,Millenials
Japan,2010,female,15-24 years,377,2340599,16.11,Japan2010,0.683,149230382,63757,Boomers
Japan,2010,female,25-34 years,11,318017,3.46,Japan2010,0.683,20275920,63757,G.I. Generation
Japan,2010,female,35-54 years,47,1412041,3.33,Japan2010,0.683,90027987,63757,Silent
Japan,2010,female,55-74 years,907,4986197,18.19,Japan2010,0.683,317906691,63757,Millenials
Japan,2010,female,75+ years,392,3529674,11.11,Japan2010,0.683,225042649,63757,Generation Z
Japan,2011,male,5-14 years,104,830408,12.52,Japan2011,0.685,49757345,59919,Boomers
Japan,2011,male,15-24 years,1405,3710096,37.87,Japan2011,0.685,222305815,59919,Boomers
Japan,2011,male,25-34 years,400,2108453,18.97,Japan2011,0.685,126336720,59919,Generation X
Japan,2011,male,35-54 years,752,1739565,43.23,Japan2011,0.685,104233263,59919,G.I. Generation
Japan,2011,male,55-74 years,137,349443,39.21,Japan2011,0.685,20938329,59919,Boomers
Japan,2011,male,75+ years,1428,2471407,57.78,Japan2011,0.685,148084617,59919,Generation X
Japan,2011,female,5-14 years,11,637589,1.73,Japan2011,0.685,38203793,59919,Silent
Japan,2011,female,15-24 years,495,3852915,12.85,Japan2011,0.685,230863408,59919,Millenials
Japan,2011,female,25-34 years,1068,4576812,23.34,Japan2011,0.685,274238705,59919,Generation X
Japan,2011,female,35-54 years,45,205912,21.85,Japan2011,0.685,12338072,59919,Boomers
Japan,2011,female,55-74 years,251,2265468,11.08,Japan2011,0.685,135744926,59919,Generation Z
Japan,2011,female,75+ years,507,2993462,16.94,Japan2011,0.685,179365711,59919,G.I. Generation
Japan,2012,male,5-14 years,62,917987,6.75,Japan2012,0.687,64822125,70613,Silent
Japan,2012,male,15-24 years,535,2503706,21.37,Japan2012,0.687,176795035,70613,Millenials
Japan,2012,male,25-34 years,1880,3833884,49.04,Japan2012,0.687,270723342,70613,G.I. Generation
Japan,2012,male,35-54 years,248,2506433,9.89,Japan2012,0.687,176987597,70613,Generation X
Japan,2012,male,55-74 years,238,2940341,8.09,Japan2012,0.687,207627289,70613,Boomers
Japan,2012,male,75+ years,1195,3571831,33.46,Japan2012,0.687,252218905,70613,Boomers
Japan,2012,female,5-14 years,27,547598,4.93,Japan2012,0.687,38667722,70613,Generation Z
Japan,2012,female,15-24 years,14,359374,3.9,Japan2012,0.687,25376597,70613,Silent
Japan,2012,female,25-34 years,430,4891838,8.79,Japan2012,0.687,345429004,70613,Silent
Japan,2012,female,35-54 years,108,397680,27.16,Japan2012,0.687,28081511,70613,Millenials
Japan,2012,female,55-74 years,233,3591083,6.49,Japan2012,0.687,253578353,70613,Generation X
Japan,2012,female,75+ years,1473,3603490,40.88,Japan2012,0.687,254454453,70613,Generation Z
Japan,2013,male,5-14 years,218,3138838,6.95,Japan2013,0.689,216967448,69123,Boomers
Japan,2013,male,15-24 years,887,3067884,28.91,Japan2013,0.689,212062860,69123,Generation X
Japan,2013,male,25-34 years,239,987197,24.21,Japan2013,0.689,68238505,69123,Boomers
Japan,2013,male,35-54 years,215,1386095,15.51,Japan2013,0.689,95811729,69123,Silent
Japan,2013,male,55-74 years,625,1779283,35.13,Japan2013,0.689,122990257,69123,Millenials
Japan,2013,male,75+ years,1897,3990552,47.54,Japan2013,0.689,275840896,69123,Silent
Japan,2013,female,5-14 years,14,300133,4.66,Japan2013,0.689,20746241,69123,Generation X
Japan,2013,female,15-24 years,106,2567728,4.13,Japan2013,0.689,177490330,69123,Millenials
Japan,2013,female,25-34 years,19,546552,3.48,Japan2013,0.689,37779583,69123,Boomers
Japan,2013,female,35-54 years,314,1036128,30.31,Japan2013,0.689,71620787,69123,Boomers
Japan,2013,female,55-74 years,1024,3218071,31.82,Japan2013,0.689,222444310,69123,Boomers
Japan,2013,female,75+ years,151,392524,38.47,Japan2013,0.689,27132630,69123,Boomers
Japan,2014,male,5-14 years,170,2098472,8.1,Japan2014,0.691,126326093,60199,Boomers
Japan,2014,male,15-24 years,301,2224260,13.53,Japan2014,0.691,133898416,60199,Generation Z
Japan,2014,male,25-34 years,382,1923924,19.86,Japan2014,0.691,115818463,60199,Millenials
Japan,2014,male,35-54 years,495,3718942,13.31,Japan2014,0.691,223876904,60199,Generation Z
Japan,2014,male,55-74 years,249,1062478,23.44,Japan2014,0.691,63960203,60199,Millenials
Japan,2014,male,75+ years,1454,4301048,33.81,Japan2014,0.691,258919153,60199,Boomers
Japan,2014,female,5-14 years,106,2144099,4.94,Japan2014,0.691,129072797,60199,Boomers
Japan,2014,female,15-24 years,172,3046164,5.65,Japan2014,0.691,183376284,60199,Generation X
Japan,2014,female,25-34 years,409,2115420,19.33,Japan2014,0.691,127346347,60199,Generation X
Japan,2014,female,35-54 years,355,3912671,9.07,Japan2014,0.691,235539213,60199,G.I. Generation
Japan,2014,female,55-74 years,790,4441806,17.79,Japan2014,0.691,267392655,60199,Millenials
Japan,2014,female,75+ years,638,1817615,35.1,Japan2014,0.691,109418759,60199,Boomers
Japan,2015,male,5-14 years,184,4753200,3.87,Japan2015,0.693,326442315,68678,Boomers
Japan,2015,male,15-24 years,110,376022,29.25,Japan2015,0.693,25824600,68678,Millenials
Japan,2015,male,25-34 years,1260,3952593,31.88,Japan2015,0.693,271457883,68678,Generation Z
Japan,2015,male,35-54 years,122,1188037,10.27,Japan2015,0.693,81592516,68678,Silent
Japan,2015,male,55-74 years,125,790259,15.82,Japan2015,0.693,54273747,68678,Generation X
Japan,2015,male,75+ years,324,786127,41.21,Japan2015,0.693,53989968,68678,Millenials
Japan,2015,female,5-14 years,35,695882,5.03,Japan2015,0.693,47792083,68678,Boomers
Japan,2015,female,15-24 years,863,4935824,17.48,Japan2015,0.693,338984644,68678,Silent
Japan,2015,female,25-34 years,485,1751027,27.7,Japan2015,0.693,120257785,68678,G.I. Generation
Japan,2015,female,35-54 years,500,2546463,19.64,Japan2015,0.693,174887081,68678,Generation Z
Japan,2015,female,55-74 years,410,1678063,24.43,Japan2015,0.693,115246732,68678,Silent
Japan,2015,female,75+ years,308,1104075,27.9,Japan2015,0.693,75826138,68678,Generation Z
Germany,2000,male,5-14 years,517,4222953,12.24,Germany2000,0.662,212296318,50272,Silent
Germany,2000,male,15-24 years,481,1371906,35.06,Germany2000,0.662,68968466,50272,Generation X
Germany,2000,male,25-34 years,153,345857,44.24,Germany2000,0.662,17386925,50272,Generation X
Germany,2000,male,35-54 years,1718,3082925,55.73,Germany2000,0.662,154984823,50272,Millenials
Germany,2000,male,55-74 years,656,2970489,22.08,Germany2000,0.662,149332440,50272,Generation Z
Germany,2000,male,75+ years,1240,1726935,71.8,Germany2000,0.662,86816486,50272,Millenials
Germany,2000,female,5-14 years,201,3955450,5.08,Germany2000,0.662,198848405,50272,Boomers
Germany,2000,female,15-24 years,694,3322455,20.89,Germany2000,0.662,167026477,50272,G.I. Generation
Germany,2000,female,25-34 years,992,4077660,24.33,Germany2000,0.662,204992147,50272,G.I. Generation
Germany,2000,female,35-54 years,588,4370723,13.45,Germany2000,0.662,219725012,50272,Generation X
Germany,2000,female,55-74 years,469,1776229,26.4,Germany2000,0.662,89294594,50272,Millenials
Germany,2000,female,75+ years,538,2026014,26.55,Germany2000,0.662,101851787,50272,Generation X
Germany,2001,male,5-14 years,17,270401,6.29,Germany2001,0.664,13202705,48826,Generation Z
Germany,2001,male,15-24 years,574,3173553,18.09,Germany2001,0.664,154953149,48826,Silent
Germany,2001,male,25-34 years,2116,4767097,44.39,Germany2001,0.664,232760157,48826,Millenials
Germany,2001,male,35-54 years,416,1837989,22.63,Germany2001,0.664,89742375,48826,Millenials
Germany,2001,male,55-74 years,428,1381134,30.99,Germany2001,0.664,67435793,48826,Generation Z
Germany,2001,male,75+ years,1945,3785003,51.39,Germany2001,0.664,184808048,48826,Millenials
Germany,2001,female,5-14 years,11,1139734,0.97,Germany2001,0.664,55649101,48826,Boomers
Germany,2001,female,15-24 years,713,4782368,14.91,Germany2001,0.664,233505785,48826,Boomers
Germany,2001,female,25-34 years,465,4685292,9.92,Germany2001,0.664,228765914,48826,Millenials
Germany,2001,female,35-54 years,637,3163288,20.14,Germany2001,0.664,154451946,48826,Millenials
Germany,2001,female,55-74 years,835,4054524,20.59,Germany2001,0.664,197967787,48826,Boomers
Germany,2001,female,75+ years,870,3644651,23.87,Germany2001,0.664,177955166,48826,Silent
Germany,2002,male,5-14 years,80,1069516,7.48,Germany2002,0.666,49771306,46536,Millenials
Germany,2002,male,15-24 years,165,1086008,15.19,Germany2002,0.666,50538782,46536,Millenials
Germany,2002,male,25-34 years,605,1431501,42.26,Germany2002,0.666,66616744,46536,Generation Z
Germany,2002,male,35-54 years,246,2841087,8.66,Germany2002,0.666,132213647,46536,G.I. Generation
Germany,2002,male,55-74 years,87,212403,40.96,Germany2002,0.666,9884447,46536,Boomers
Germany,2002,male,75+ years,281,1294782,21.7,Germany2002,0.666,60254350,46536,Silent
Germany,2002,female,5-14 years,147,1931708,7.61,Germany2002,0.666,89894522,46536,Generation X
Germany,2002,female,15-24 years,220,1336978,16.46,Germany2002,0.666,62217995,46536,G.I. Generation
Germany,2002,female,25-34 years,941,4285636,21.96,Germany2002,0.666,199437597,46536,G.I. Generation
Germany,2002,female,35-54 years,555,3194524,17.37,Germany2002,0.666,148661293,46536,Generation X
Germany,2002,female,55-74 years,1092,3736993,29.22,Germany2002,0.666,173905788,46536,Generation X
Germany,2002,female,75+ years,158,1056540,14.95,Germany2002,0.666,49167451,46536,G.I. Generation
Germany,2003,male,5-14 years,160,2076348,7.71,Germany2003,0.668,100828908,48560,Silent
Germany,2003,male,15-24 years,377,1517793,24.84,Germany2003,0.668,73705087,48560,Silent
Germany,2003,male,25-34 years,803,2255358,35.6,Germany2003,0.668,109521758,48560,Boomers
Germany,2003,male,35-54 years,1306,4129793,31.62,Germany2003,0.668,200545630,48560,Millenials
Germany,2003,male,55-74 years,78,581212,13.42,Germany2003,0.668,28224060,48560,G.I. Generation
Germany,2003,male,75+ years,600,2125701,28.23,Germany2003,0.668,103225524,48560,Boomers
Germany,2003,female,5-14 years,158,2323567,6.8,Germany2003,0.668,112834035,48560,Boomers
Germany,2003,female,15-24 years,203,1321817,15.36,Germany2003,0.668,64188356,48560,Silent
Germany,2003,female,25-34 years,302,3464633,8.72,Germany2003,0.668,168244996,48560,Generation Z
Germany,2003,female,35-54 years,1175,3413537,34.42,Germany2003,0.668,165763739,48560,Generation X
Germany,2003,female,55-74 years,893,4978306,17.94,Germany2003,0.668,241750014,48560,Generation Z
Germany,2003,female,75+ years,1032,2899024,35.6,Germany2003,0.668,140778629,48560,Generation X
Germany,2004,male,5-14 years,144,2165493,6.65,Germany2004,0.67,105750161,48834,Boomers
Germany,2004,male,15-24 years,530,1868343,28.37,Germany2004,0.67,91239073,48834,Generation Z
Germany,2004,male,25-34 years,236,1326281,17.79,Germany2004,0.67,64767898,48834,Millenials
Germany,2004,male,35-54 years,1389,3738465,37.15,Germany2004,0.67,182565022,48834,Generation Z
Germany,2004,male,55-74 years,905,2700598,33.51,Germany2004,0.67,131881596,48834,Generation X
Germany,2004,male,75+ years,1037,3120734,33.23,Germany2004,0.67,152398610,48834,Millenials
Germany,2004,female,5-14 years,9,373569,2.41,Germany2004,0.67,18242950,48834,Silent
Germany,2004,female,15-24 years,173,2028365,8.53,Germany2004,0.67,99053622,48834,Generation X
Germany,2004,female,25-34 years,210,1666516,12.6,Germany2004,0.67,81383009,48834,Boomers
Germany,2004,female,35-54 years,417,4392015,9.49,Germany2004,0.67,214480626,48834,Generation Z
Germany,2004,female,55-74 years,508,2919561,17.4,Germany2004,0.67,142574484,48834,Generation X
Germany,2004,female,75+ years,257,758558,33.88,Germany2004,0.67,37043588,48834,Silent
Germany,2005,male,5-14 years,366,4068441,9.0,Germany2005,0.672,232582468,57167,Generation X
Germany,2005,male,15-24 years,75,1748134,4.29,Germany2005,0.672,99936393,57167,G.I. Generation
Germany,2005,male,25-34 years,846,1861278,45.45,Germany2005,0.672,106404549,57167,Generation X
Germany,2005,male,35-54 years,772,2960784,26.07,Germany2005,0.672,169260523,57167,Generation Z
Germany,2005,male,55-74 years,536,868150,61.74,Germany2005,0.672,49629936,57167,Boomers
Germany,2005,male,75+ years,718,2612317,27.49,Germany2005,0.672,149339547,57167,Millenials
Germany,2005,female,5-14 years,31,784457,3.95,Germany2005,0.672,44845420,57167,Boomers
Germany,2005,female,15-24 years,89,583833,15.24,Germany2005,0.672,33376254,57167,Boomers
Germany,2005,female,25-34 years,257,1696717,15.15,Germany2005,0.672,96997014,57167,Boomers
Germany,2005,female,35-54 years,135,4286953,3.15,Germany2005,0.672,245074246,57167,Silent
Germany,2005,female,55-74 years,260,3320965,7.83,Germany2005,0.672,189851158,57167,G.I. Generation
Germany,2005,female,75+ years,144,1120555,12.85,Germany2005,0.672,64059291,57167,Silent
Germany,2006,male,5-14 years,374,3536169,10.58,Germany2006,0.674,174760638,49420,G.I. Generation
Germany,2006,male,15-24 years,147,558223,26.33,Germany2006,0.674,27587880,49420,Boomers
Germany,2006,male,25-34 years,841,3166648,26.56,Germany2006,0.674,156498579,49420,Millenials
Germany,2006,male,35-54 years,670,3153053,21.25,Germany2006,0.674,155826702,49420,Boomers
Germany,2006,male,55-74 years,2167,4270476,50.74,Germany2006,0.674,211050747,49420,Generation Z
Germany,2006,male,75+ years,990,3339563,29.64,Germany2006,0.674,165044193,49420,Generation Z
Germany,2006,female,5-14 years,265,4172181,6.35,Germany2006,0.674,206192920,49420,Generation Z
Germany,2006,female,15-24 years,72,1393185,5.17,Germany2006,0.674,68852450,49420,Generation Z
Germany,2006,female,25-34 years,268,1447103,18.52,Germany2006,0.674,71517126,49420,Millenials
Germany,2006,female,35-54 years,46,1232968,3.73,Germany2006,0.674,60934382,49420,Millenials
Germany,2006,female,55-74 years,62,1154510,5.37,Germany2006,0.674,57056917,49420,Generation X
Germany,2006,female,75+ years,182,726733,25.04,Germany2006,0.674,35915795,49420,Boomers
Germany,2007,male,5-14 years,29,916341,3.16,Germany2007,0.676,48201098,52601,Boomers
Germany,2007,male,15-24 years,1044,3328211,31.37,Germany2007,0.676,175069573,52601,Millenials
Germany,2007,male,25-34 years,992,2405344,41.24,Germany2007,0.676,126525195,52601,Generation X
Germany,2007,male,35-54 years,295,690317,42.73,Germany2007,0.676,36311851,52601,Silent
Germany,2007,male,55-74 years,539,2300494,23.43,Germany2007,0.676,121009906,52601,Silent
Germany,2007,male,75+ years,877,1414680,61.99,Germany2007,0.676,74414580,52601,Silent
Germany,2007,female,5-14 years,70,2054474,3.41,Germany2007,0.676,108068835,52601,Generation X
Germany,2007,female,15-24 years,57,519929,10.96,Germany2007,0.676,27349151,52601,Boomers
Germany,2007,female,25-34 years,429,2658665,16.14,Germany2007,0.676,139850311,52601,Generation X
Germany,2007,female,35-54 years,964,3781794,25.49,Germany2007,0.676,198928812,52601,G.I. Generation
Germany,2007,female,55-74 years,101,258120,39.13,Germany2007,0.676,13577552,52601,Silent
Germany,2007,female,75+ years,1211,2417345,50.1,Germany2007,0.676,127156468,52601,G.I. Generation
Germany,2008,male,5-14 years,29,1088938,2.66,Germany2008,0.678,63119763,57964,Generation Z
Germany,2008,male,15-24 years,263,4186565,6.28,Germany2008,0.678,242672211,57964,Boomers
Germany,2008,male,25-34 years,1431,4514723,31.7,Germany2008,0.678,261693730,57964,Generation X
Germany,2008,male,35-54 years,270,2033310,13.28,Germany2008,0.678,117859828,57964,Generation Z
Germany,2008,male,55-74 years,186,1451423,12.82,Germany2008,0.678,84131030,57964,Generation Z
Germany,2008,male,75+ years,1049,4499910,23.31,Germany2008,0.678,260835102,57964,G.I. Generation
Germany,2008,female,5-14 years,246,4903857,5.02,Germany2008,0.678,284249694,57964,Boomers
Germany,2008,female,15-24 years,28,951864,2.94,Germany2008,0.678,55174335,57964,Silent
Germany,2008,female,25-34 years,153,1278154,11.97,Germany2008,0.678,74087577,57964,Boomers
Germany,2008,female,35-54 years,161,2065533,7.79,Germany2008,0.678,119727619,57964,Boomers
Germany,2008,female,55-74 years,99,783206,12.64,Germany2008,0.678,45398156,57964,Millenials
Germany,2008,female,75+ years,640,1572352,40.7,Germany2008,0.678,91140621,57964,Generation X
Germany,2009,male,5-14 years,203,2811279,7.22,Germany2009,0.68,152823085,54360,Generation Z
Germany,2009,male,15-24 years,1290,4241593,30.41,Germany2009,0.68,230575951,54360,Boomers
Germany,2009,male,25-34 years,89,458519,19.41,Germany2009,0.68,24925412,54360,Generation X
Germany,2009,male,35-54 years,334,4699462,7.11,Germany2009,0.68,255466029,54360,Millenials
Germany,2009,male,55-74 years,498,3489430,14.27,Germany2009,0.68,189687846,54360,G.I. Generation
Germany,2009,male,75+ years,255,923245,27.62,Germany2009,0.68,50188241,54360,Millenials
Germany,2009,female,5-14 years,118,3033668,3.89,Germany2009,0.68,164912306,54360,G.I. Generation
Germany,2009,female,15-24 years,43,927532,4.64,Germany2009,0.68,50421285,54360,Generation X
Germany,2009,female,25-34 years,272,3853383,7.06,Germany2009,0.68,209472585,54360,Generation X
Germany,2009,female,35-54 years,997,3760217,26.51,Germany2009,0.68,204408016,54360,G.I. Generation
Germany,2009,female,55-74 years,579,2127172,27.22,Germany2009,0.68,115634552,54360,Silent
Germany,2009,female,75+ years,1400,3763270,37.2,Germany2009,0.68,204573979,54360,Silent
Germany,2010,male,5-14 years,231,3962200,5.83,Germany2010,0.682,223501503,56408,Silent
Germany,2010,male,15-24 years,1045,4231827,24.69,Germany2010,0.682,238710740,56408,Generation X
Germany,2010,male,25-34 years,872,4798752,18.17,Germany2010,0.682,270690092,56408,G.I. Generation
Germany,2010,male,35-54 years,1178,4241457,27.77,Germany2010,0.682,239253953,56408,Silent
Germany,2010,male,55-74 years,661,1967885,33.59,Germany2010,0.682,111005314,56408,Generation Z
Germany,2010,male,75+ years,928,3046612,30.46,Germany2010,0.682,171854616,56408,Millenials
Germany,2010,female,5-14 years,5,339542,1.47,Germany2010,0.682,19153033,56408,Millenials
Germany,2010,female,15-24 years,92,646355,14.23,Germany2010,0.682,36459874,56408,Generation Z
Germany,2010,female,25-34 years,190,3672342,5.17,Germany2010,0.682,207151067,56408,Boomers
Germany,2010,female,35-54 years,654,2891168,22.62,Germany2010,0.682,163086263,56408,Silent
Germany,2010,female,55-74 years,150,3090299,4.85,Germany2010,0.682,174318931,56408,Generation Z
Germany,2010,female,75+ years,312,915198,34.09,Germany2010,0.682,51624887,56408,Silent
Germany,2011,male,5-14 years,268,3985351,6.72,Germany2011,0.684,245137611,61509,Boomers
Germany,2011,male,15-24 years,194,787408,24.64,Germany2011,0.684,48433203,61509,Boomers
Germany,2011,male,25-34 years,200,500202,39.98,Germany2011,0.684,30767258,61509,Generation X
Germany,2011,male,35-54 years,1615,4678943,34.52,Germany2011,0.684,287800224,61509,Boomers
Germany,2011,male,55-74 years,460,2581598,17.82,Germany2011,0.684,158793232,61509,Generation Z
Germany,2011,male,75+ years,2343,3786654,61.88,Germany2011,0.684,232915825,61509,Millenials
Germany,2011,female,5-14 years,33,1085486,3.04,Germany2011,0.684,66767882,61509,Millenials
Germany,2011,female,15-24 years,526,3561209,14.77,Germany2011,0.684,219048778,61509,Generation Z
Germany,2011,female,25-34 years,332,2686778,12.36,Germany2011,0.684,165262819,61509,Silent
Germany,2011,female,35-54 years,422,4293094,9.83,Germany2011,0.684,264066781,61509,Millenials
Germany,2011,female,55-74 years,555,2508348,22.13,Germany2011,0.684,154287649,61509,Boomers
Germany,2011,female,75+ years,74,840703,8.8,Germany2011,0.684,51711361,61509,Silent
Germany,2012,male,5-14 years,49,3945022,1.24,Germany2012,0.686,256187891,64939,Generation Z
Germany,2012,male,15-24 years,296,3129080,9.46,Germany2012,0.686,203200997,64939,Generation X
Germany,2012,male,25-34 years,313,4791750,6.53,Germany2012,0.686,311174013,64939,Generation Z
Germany,2012,male,35-54 years,64,374180,17.1,Germany2012,0.686,24299074,64939,Generation Z
Germany,2012,male,55-74 years,332,1397821,23.75,Germany2012,0.686,90773844,64939,Silent
Germany,2012,male,75+ years,888,4254989,20.87,Germany2012,0.686,276317003,64939,Boomers
Germany,2012,female,5-14 years,5,361345,1.38,Germany2012,0.686,23465576,64939,Generation X
Germany,2012,female,15-24 years,184,1860418,9.89,Germany2012,0.686,120814678,64939,Generation Z
Germany,2012,female,25-34 years,184,4519200,4.07,Germany2012,0.686,293474743,64939,Boomers
Germany,2012,female,35-54 years,227,814343,27.88,Germany2012,0.686,52883055,64939,Silent
Germany,2012,female,55-74 years,315,2210207,14.25,Germany2012,0.686,143529813,64939,Silent
Germany,2012,female,75+ years,562,4901844,11.47,Germany2012,0.686,318323466,64939,Millenials
Germany,2013,male,5-14 years,296,2426875,12.2,Germany2013,0.688,149956361,61789,Generation X
Germany,2013,male,15-24 years,58,1078474,5.38,Germany2013,0.688,66638799,61789,Silent
Germany,2013,male,25-34 years,202,626433,32.25,Germany2013,0.688,38707231,61789,Millenials
Germany,2013,male,35-54 years,324,1291565,25.09,Germany2013,0.688,79805671,61789,Generation Z
Germany,2013,male,55-74 years,998,2834425,35.21,Germany2013,0.688,175138834,61789,Silent
Germany,2013,male,75+ years,538,2526542,21.29,Germany2013,0.688,156114775,61789,Generation X
Germany,2013,female,5-14 years,130,3411307,3.81,Germany2013,0.688,210784315,61789,Millenials
Germany,2013,female,15-24 years,357,3796561,9.4,Germany2013,0.688,234589121,61789,Generation Z
Germany,2013,female,25-34 years,481,4070737,11.82,Germany2013,0.688,251530428,61789,Generation X
Germany,2013,female,35-54 years,114,1166546,9.77,Germany2013,0.688,72080759,61789,Boomers
Germany,2013,female,55-74 years,731,3832407,19.07,Germany2013,0.688,236804042,61789,Millenials
Germany,2013,female,75+ years,338,3366220,10.04,Germany2013,0.688,207998394,61789,Millenials
Germany,2014,male,5-14 years,383,4927950,7.77,Germany2014,0.69,302363496,61356,Generation X
Germany,2014,male,15-24 years,90,651929,13.81,Germany2014,0.69,40000310,61356,Silent
Germany,2014,male,25-34 years,257,2589500,9.92,Germany2014,0.69,158883566,61356,Generation X
Germany,2014,male,35-54 years,216,2107430,10.25,Germany2014,0.69,129305269,61356,G.I. Generation
Germany,2014,male,55-74 years,375,1178079,31.83,Germany2014,0.69,72283218,61356,Boomers
Germany,2014,male,75+ years,876,3835913,22.84,Germany2014,0.69,235359544,61356,Generation X
Germany,2014,female,5-14 years,147,2100658,7.0,Germany2014,0.69,128889760,61356,Silent
Germany,2014,female,15-24 years,279,2348494,11.88,Germany2014,0.69,144096197,61356,G.I. Generation
Germany,2014,female,25-34 years,421,1942883,21.67,Germany2014,0.69,119209183,61356,Generation Z
Germany,2014,female,35-54 years,74,875415,8.45,Germany2014,0.69,53712708,61356,Millenials
Germany,2014,female,55-74 years,1085,3716649,29.19,Germany2014,0.69,228041880,61356,Generation Z
Germany,2014,female,75+ years,298,3153430,9.45,Germany2014,0.69,193484536,61356,Boomers
Germany,2015,male,5-14 years,204,1734400,11.76,Germany2015,0.692,114377533,65946,Millenials
Germany,2015,male,15-24 years,720,3406015,21.14,Germany2015,0.692,224614619,65946,Generation Z
Germany,2015,male,25-34 years,1281,4902955,26.13,Germany2015,0.692,323332507,65946,Millenials
Germany,2015,male,35-54 years,953,2886827,33.01,Germany2015,0.692,190376010,65946,Silent
Germany,2015,male,55-74 years,390,1206814,32.32,Germany2015,0.692,79585106,65946,Boomers
Germany,2015,male,75+ years,2509,4319249,58.09,Germany2015,0.692,284839165,65946,G.I. Generation
Germany,2015,female,5-14 years,331,3845995,8.61,Germany2015,0.692,253629741,65946,Boomers
Germany,2015,female,15-24 years,234,2404472,9.73,Germany2015,0.692,158566407,65946,G.I. Generation
Germany,2015,female,25-34 years,635,4423145,14.36,Germany2015,0.692,291690738,65946,Boomers
Germany,2015,female,35-54 years,252,4164695,6.05,Germany2015,0.692,274646877,65946,Boomers
Germany,2015,female,55-74 years,1151,4545727,25.32,Germany2015,0.692,299774587,65946,G.I. Generation
Germany,2015,female,75+ years,886,3325508,26.64,Germany2015,0.692,219305468,65946,Millenials
Brazil,2000,male,5-14 years,27,349354,7.73,Brazil2000,0.895,15050283,43080,G.I. Generation
Brazil,2000,male,15-24 years,198,3494370,5.67,Brazil2000,0.895,150538593,43080,Generation X
Brazil,2000,male,25-34 years,1211,3345355,36.2,Brazil2000,0.895,144118978,43080,G.I. Generation
Brazil,2000,male,35-54 years,967,3531922,27.38,Brazil2000,0.895,152156345,43080,Millenials
Brazil,2000,male,55-74 years,88,359308,24.49,Brazil2000,0.895,15479105,43080,Generation Z
Brazil,2000,male,75+ years,1125,4537317,24.79,Brazil2000,0.895,195469088,43080,Boomers
Brazil,2000,female,5-14 years,103,3391927,3.04,Brazil2000,0.895,146125315,43080,G.I. Generation
Brazil,2000,female,15-24 years,11,200904,5.48,Brazil2000,0.895,8655009,43080,Generation Z
Brazil,2000,female,25-34 years,594,2409719,24.65,Brazil2000,0.895,103811476,43080,G.I. Generation
Brazil,2000,female,35-54 years,580,2181253,26.59,Brazil2000,0.895,93969087,43080,Generation X
Brazil,2000,female,55-74 years,135,401718,33.61,Brazil2000,0.895,17306141,43080,Generation Z
Brazil,2000,female,75+ years,806,4320040,18.66,Brazil2000,0.895,186108725,43080,Silent
Brazil,2001,male,5-14 years,523,4229412,12.37,Brazil2001,0.897,203258356,48058,Generation X
Brazil,2001,male,15-24 years,464,1662805,27.9,Brazil2001,0.897,79911583,48058,Boomers
Brazil,2001,male,25-34 years,244,740385,32.96,Brazil2001,0.897,35581645,48058,Generation X
Brazil,2001,male,35-54 years,91,1361090,6.69,Brazil2001,0.897,65411673,48058,Generation X
Brazil,2001,male,55-74 years,411,4157767,9.89,Brazil2001,0.897,199815219,48058,Generation Z
Brazil,2001,male,75+ years,482,3767327,12.79,Brazil2001,0.897,181051336,48058,Silent
Brazil,2001,female,5-14 years,189,3405462,5.55,Brazil2001,0.897,163660719,48058,Millenials
